species_code,freq,scientific_name,common_name,vegetation_type,beaver_preference,observation_date,papersheet_ID
ABAM,23,Abies amabilis,Pacific silver fir,tree,NA,NA,NA
ACCI,18,Acer circinatum,vine maple,NA,NA,NA,NA
ACEL,1,Actaea elata,bugbane,NA,NA,NA,NA
ACRU,1,Actaea rubra,red baneberry,NA,NA,NA,NA
ACTR,24,Achlys triphylla,vanilla leaf,NA,NA,NA,NA
ADAL,4,Adiantum aleuticum,maiden hair fern,NA,NA,NA,NA
ADBI,10,Adenocaulon bicolor,trail plant,NA,NA,NA,NA
AFTE,1,NA,NA,NA,NA,NA,NA
ALRU,10,Alnus rubra,red alder,tree,NA,NA,NA
ARDI,1,Aruncus dioicus,goatsbeard,NA,NA,NA,NA
ATFE,57,Athyrium filix-femina,lady fern,NA,NA,NA,NA
BRVU,2,Bromus vulgaris,Columbia Brome,NA,NA,NA,NA
BRXXSP,4,Bromus sp.,Bromus species - grasses,NA,NA,NA,NA
CAHA,1,Carex Hendersonii,Henderson Sedge,NA,NA,NA,NA
CAXXSP,8,Carex sp.,carex sp - sedges,NA,NA,NA,NA
CHUM,3,Chimaphyla umbellata,pipsissewa,NA,NA,NA,NA
CIAL,28,Circaea alpina,alpine enchanter's nightshade,NA,NA,NA,NA
CLSI,13,Claytonia sibirica,miners lettuce or candy flower,NA,NA,NA,NA
CLUN,18,Clintonia uniflora,queens cups,NA,NA,NA,NA
COSC,26,Corydalis scouleri,corydalis,NA,NA,NA,NA
COUN,20,Cornus unalaschkensis,bunchberry,NA,NA,NA,NA
DIFO,2,Dicentra formosa,bleeding heart,NA,NA,NA,NA
DRAR,9,Dryopteris arguta,wood fern,NA,NA,NA,NA
DREX,18,Dryopteris expansa,spreading wood fern,NA,NA,NA,NA
EPCI,1,Epilobium ciliatum,Epilobium?,NA,NA,NA,NA
EQXXSP,10,Equisetum sp.,horsetail species,NA,NA,NA,NA
FRPU,1,Frangula purshiana,cascara,NA,NA,NA,NA
GASH,9,Gaultheria shallon,salal,NA,NA,NA,NA
GATR,28,Galium triflorum,galium,NA,NA,NA,NA
GLXXSP,1,Glyceria sp.,glyciria species,NA,NA,NA,NA
GOOB,27,Goodyera oblongifolia,rattlesnake plantain,NA,NA,NA,NA
GYDI,39,Gymnocarpium disjunctum,oak fern,NA,NA,NA,NA
HILA,4,Hieracium lachenalii,common hawkweed,NA,NA,NA,NA
HUMI,1,Huechera micrantha,crevice alumroot,NA,NA,NA,NA
HYTE,30,Hydrophyllum tenuipes,Pacific waterleaf,NA,NA,NA,NA
LUPA,4,Luzula parviflora,small-flowered woodrush,NA,NA,NA,NA
LYAM,25,Lysichiton americanus,skunk cabbage,NA,NA,NA,NA
MADI,48,Maianthemum dilatatum,false lily of the valley,NA,NA,NA,NA
MANE,14,Mahonia nervosa ,low oregon grape,NA,NA,NA,NA
MARA,2,Maianthemum racemosum,false Soloman's seal,NA,NA,NA,NA
MAST,35,Maianthemum stellatum,star-flowered Solomon's seal,NA,NA,NA,NA
MICA,8,Mitellastra caulescens,mitrewort,NA,NA,NA,NA
MOUN,3,Monotropa uniflora,ghost pipe,NA,NA,NA,NA
MYMU,7,Mycelis muralis,wall lettuce,NA,NA,NA,NA
OESA,2,Oenanthe sarmentosa,water parsley,NA,NA,NA,NA
OPHO,67,Oplopanax horridus,devil's club,NA,NA,NA,NA
OXTR,5,Oxalis trilliifolia,trillium-leaved oxalis,NA,NA,NA,NA
PEFR,1,Petasites frigidus,NA,NA,NA,NA,NA
